Warehouse,Item Code,Description,Pack Size,Brand,On-Hand Available,Average Unit Cost.1,Notes,Case_Weight_Lbs,Category
GA COLD,2433,RTC BRD CHICKEN BREAST STRIP FRITTE,10 LB,WAYNE FARMS,504.0,0.6528,https://specff.psce.pw/7v5huz,10.0,Chicken
GA COLD,2631391,FC DICED CHICKEN CW,1000 LB TT,OSI,32.0,1.2531,for packout,1000.0,Chicken
GA COLD,5028403,FC GRILLED CHICKEN STRIPS,4/5 LB,CARDINAL FOODS,1400.0,1.58,https://specff.psce.pw/89pemb,20.0,Chicken
GA COLD,5180,FC DICED WHITE CHICKEN,10 LB,FLEETWOOD,1572.0,2.0084,https://specff.psce.pw/835a3n,10.0,Chicken
GA COLD,61181,TURKEY CRUMBLES FC TOTE FRZ CW,1000l LB,TYSON,36.0,0.3998,,,Turkey
GA COLD,63901,"FC GRILL CHICKEN FILLETS, #2",2/5 LB,TIP TOP,130.0,1.8675,https://specff.psce.pw/8k4mgj,10.0,Chicken
GA COLD,63988,"FC GRILL CHICKEN FILLETS, #2",2/5 LB,TIP TOP,7.0,1.8676,https://specff.psce.pw/8grthd,10.0,Chicken
GA COLD,63990,"FC GRILL CHICKEN FILLETS, #2",2/5 LB,TIP TOP,24.0,1.8675,https://specff.psce.pw/8k4lz4,10.0,Chicken
GA COLD,90184T,"FC GRILL CHICKEN FILLETS, #2",2/5 LB,TIP TOP,285.0,1.8523,https://specff.psce.pw/8k4l26,10.0,Chicken
GA COLD,91002A,CHICKEN TENDER PRINTED BAG,600/CS,FLEETWOOD,3246.0,0.0,BAG,,Chicken
GA COLD,9615,RTC BATTERED CHICKEN NUGGETS RTL,2/5 LB,FLEETWOOD,712.0,1.5887,https://specff.psce.pw/7sla8e,10.0,Chicken
GA COLD,R111355,FC BREADED SPICY BNLS CHUNK 15-40 G,2/5LB,JESSIE JEWELL,497.0,0.8281,https://specff.psce.pw/7slgq9,10.0,Other
GA COLD,R4212,FC BREADED TENDERS,2/5LB,JESSIE JEWELL,71.0,1.0038,https://specff.psce.pw/7slk35,10.0,Chicken
GA COLD,R4502,FC BREADED WM SPICY BREAST STRIPS,2/5LB,JESSIE JEWELL,195.0,0.8616,https://specff.psce.pw/7slk9m,10.0,Chicken
GA COLD,R672970,FC BREADED BRST STRIPS 30-60 GRAM,2/5LB,JESSIE JEWELL,162.0,1.2616,https://specff.psee.io/83xkdp,10.0,Other
GA COLD,R7025,FC BREADED BUFFALO CHUNK,2/5LB,JESSIE JEWELL,52.0,0.9207,https://specff.psce.pw/7tmhty,10.0,Other
GA COLD,R7027,FC BREADED CHEEZY HOTZ CHUNK FRITTR,2/5LB,JESSIE JEWELL,49.0,0.7358,https://specff.psce.pw/7slkuk,10.0,Other
GA COLD,R792402,FC BREADED SPICY BONELESS CHUNK,2/5LB,JESSIE JEWELL,64.0,0.7358,https://specff.psce.pw/7sqaz9,10.0,Other
GA COLD,R792451,FC BREADED SPICY WM STRIPS,2/5LB,JESSIE JEWELL,285.0,1.0038,https://specff.psce.pw/7sqb8m,10.0,Other
