Warehouse,Item Code,Description,Item Type,Mster Uom,Pack Size,Brand,Latest Expiration Date,Inv. Total,Delivered Unbilled,On-Hand,On-Hand Committed,On-Hand Unallocated,On-Hand Available,Total Inv. Cost,Average Unit Cost,Weight Uom,Inv. Total.1,Delivered Unbilled.1,On-Hand.1,On-Hand Committed.1,On-Hand Unallocated.1,On-Hand Available.1,Total Inv. Cost.1,Average Unit Cost.1,Notes,Case_Weight,Category,WH_Code,SE_LandedLb,SE_CasePrice,NE_LandedLb,NE_CasePrice,TX_LandedLb,TX_CasePrice
A R T,93684,FC CHICKEN PATTIES RETAIL,3A,CS,12-2 LB,ERIE,  /  /         ,194.0,0.0,194.0,0.0,48.0,146.0,8194.56,42.24,LB,4656.0,0.0,4656.0,0.0,1152.0,3504.0,8194.56,1.76,https://specff.psce.pw/8k4mxm,,Chicken,A_R_T,2.8545299999999996,,2.7264199999999996,,3.0803899999999995,
A R T,93685,FC FORMED CHICKEN STRIPS RETAIL,3A,CS,12-2 LB,ERIE,  /  /         ,287.0,0.0,287.0,0.0,48.0,239.0,12163.69,42.3822,LB,6888.0,0.0,6888.0,0.0,1152.0,5736.0,12163.69,1.7659,https://specff.psce.pw/8k4ms5,,Chicken,A_R_T,2.861315,,2.733205,,3.087175,
A R T,9741,PORK SAUSAGE MILD RTL FRZ,3D,CS,12/1LB,GWALTNEY,  /  /         ,449.0,0.0,449.0,0.0,0.0,449.0,4496.15,10.0137,LB,5388.0,0.0,5388.0,0.0,0.0,5388.0,4496.15,0.8345,,12.0,Pork,A_R_T,1.7902049999999998,21.482459999999996,1.6620949999999999,19.94514,2.0160649999999998,24.19278
A R T,GB8726,FC ROASTED CHICKEN WING SECTIONS,6A,CS,2/5 LB,GOLDEN BIRD,  /  /         ,554.0,0.0,554.0,0.0,0.0,554.0,8522.9,15.3843,LB,5540.0,0.0,5540.0,0.0,0.0,5540.0,8522.9,1.5384,https://specff.psce.pw/835kpf,10.0,Chicken,A_R_T,2.59969,25.996899999999997,2.47158,24.715799999999998,2.82555,28.255499999999998
A R T,R0911,FC BRD BREAST STRIPS,6A,CS,2/5 LB,JESSIE JEWELL,  /  /         ,268.0,0.0,268.0,0.0,0.0,268.0,2918.2,10.8888,LB,2680.0,0.0,2680.0,0.0,0.0,2680.0,2918.2,1.0889,https://specff.psce.pw/7tmhny,10.0,Chicken,A_R_T,2.0827649999999998,20.82765,1.9546549999999998,19.546549999999996,2.3086249999999997,23.086249999999996
A R T,R4212,FC BREADED TENDERS,6A,CS,2/5LB,JESSIE JEWELL,  /  /         ,123.0,0.0,123.0,0.0,0.0,123.0,1348.36,10.9623,LB,1230.0,0.0,1230.0,0.0,0.0,1230.0,1348.36,1.0962,https://specff.psce.pw/7slk35,10.0,Chicken,A_R_T,2.09116,20.9116,1.96305,19.630499999999998,2.31702,23.170199999999998
A R T,R4501,FC BRD CHICKEN STRIPS,6A,CS,2/5 LB,JESSIE JEWELL,  /  /         ,202.0,0.0,202.0,0.0,0.0,202.0,2199.54,10.8888,LB,2020.0,0.0,2020.0,0.0,0.0,2020.0,2199.54,1.0889,https://specff.psce.pw/7tmltm,10.0,Chicken,A_R_T,2.0827649999999998,20.82765,1.9546549999999998,19.546549999999996,2.3086249999999997,23.086249999999996
A R T,R791895,FC ROASTED DRUMS,6A,CS,2/5 LB,JESSIE JEWELL,  /  /         ,337.0,0.0,337.0,0.0,0.0,337.0,3467.33,10.2888,LB,3370.0,0.0,3370.0,0.0,0.0,3370.0,3467.33,1.0289,https://specff.psce.pw/8k4la8,10.0,Beef,A_R_T,2.013765,20.137649999999997,1.8856549999999999,18.85655,2.2396249999999998,22.39625
A R T,R792441,FC BREADED WM STRIPS 32-48 GRAM,6A,CS,2/5LB,JESSIE JEWELL,  /  /         ,1322.0,0.0,1322.0,0.0,0.0,1322.0,14484.49,10.9565,LB,13220.0,0.0,13220.0,0.0,0.0,13220.0,14484.49,1.0956,https://specff.psce.pw/7ygma8,10.0,Other,A_R_T,2.09047,20.9047,1.9623599999999997,19.623599999999996,2.3163299999999993,23.163299999999992
GA COLD,07154,FLEETWOOD FARMS CHICKEN TENDERS,3A,CS,18/24OZ,FLEETWOOD FARMS,  /  /         ,256.0,0.0,256.0,48.0,0.0,208.0,14395.03,56.2306,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://specff.psce.pw/7slf8m,27.0,Chicken,GA_COLD,,77.255965,,104.163895,,82.48478499999999
GA COLD,1214,RTC BRD CHICKEN TENDERS,6A,CS,10 LB,SPRING FARMS,  /  /         ,272.0,0.0,272.0,0.0,0.0,272.0,1647.91,6.0585,LB,2720.0,0.0,2720.0,0.0,0.0,2720.0,1647.91,0.6058,https://specff.psce.pw/7v5f5g,10.0,Chicken,GA_COLD,1.162995,11.629950000000001,2.159585,21.59585,1.356655,13.56655
GA COLD,1233,RTC CHICKEN TENDERS,6A,CS,10 LB,SPRING FARMS,  /  /         ,543.0,0.0,543.0,0.0,0.0,543.0,3299.66,6.0767,LB,5430.0,0.0,5430.0,0.0,0.0,5430.0,3299.66,0.6077,https://specff.psce.pw/7trnyr,10.0,Chicken,GA_COLD,1.16518,11.651800000000001,2.1617699999999997,21.6177,1.3588399999999998,13.588399999999998
GA COLD,1235,RTC CHICKEN TENDERS,6A,CS,10 LB,SPRING FARMS,  /  /         ,1224.0,0.0,1224.0,0.0,0.0,1224.0,7373.62,6.0242,LB,12240.0,0.0,12240.0,0.0,0.0,12240.0,7373.62,0.6024,https://specff.psce.pw/7slfc7,10.0,Chicken,GA_COLD,1.159085,11.59085,2.155675,21.55675,1.3527449999999999,13.527449999999998
GA COLD,1239,RTC CHICKEN TENDERS,6A,CS,10 LB,SPRING FARMS,  /  /         ,815.0,0.0,815.0,0.0,0.0,815.0,4937.68,6.0585,LB,8150.0,0.0,8150.0,0.0,0.0,8150.0,4937.68,0.6059,https://specff.psce.pw/7v5e8z,10.0,Chicken,GA_COLD,1.16311,11.6311,2.1597,21.597,1.3567699999999998,13.567699999999999
